TICK,1,26
TICK,2,4
TICK,3,0
TICK,4,0
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 10592
GAME_TIME_HIGH, 11248
TICK,0,615
TICK,1,36
TICK,2,4
TICK,3,0
TICK,4,1
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 10185
GAME_TIME_HIGH, 10824
TICK,0,596
TICK,1,32
TICK,2,1
TICK,3,1
TICK,4,0
TICK,5,0
TICK,6,1
TICK,7,0
GAME_TIME_LOW, 9804
GAME_TIME_HIGH, 10411
TICK,0,568
TICK,1,34
TICK,2,4
TICK,3,0
TICK,4,1
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9776
GAME_TIME_HIGH, 10382
TICK,0,574
TICK,1,26
TICK,2,4
TICK,3,2
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9804
GAME_TIME_HIGH, 10411
TICK,0,568
TICK,1,34
TICK,2,4
TICK,3,0
TICK,4,1
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9782
GAME_TIME_HIGH, 10387
TICK,0,564
TICK,1,34
TICK,2,5
TICK,3,1
TICK,4,1
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9806
GAME_TIME_HIGH, 10413
TICK,0,569
TICK,1,32
TICK,2,4
TICK,3,1
TICK,4,1
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9800
GAME_TIME_HIGH, 10406
TICK,0,566
TICK,1,32
TICK,2,5
TICK,3,2
TICK,4,1
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9784
GAME_TIME_HIGH, 10389
TICK,0,564
TICK,1,35
TICK,2,2
TICK,3,3
TICK,4,1
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9774
GAME_TIME_HIGH, 10379
TICK,0,568
TICK,1,30
TICK,2,5
TICK,3,1
TICK,4,1
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9802
GAME_TIME_HIGH, 10408
TICK,0,564
TICK,1,36
TICK,2,2
TICK,3,3
TICK,4,1
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9776
GAME_TIME_HIGH, 10381
TICK,0,571
TICK,1,26
TICK,2,3
TICK,3,4
TICK,4,1
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9788
GAME_TIME_HIGH, 10395
TICK,0,554
TICK,1,42
TICK,2,6
TICK,3,1
TICK,4,0
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9778
GAME_TIME_HIGH, 10385
TICK,0,563
TICK,1,32
TICK,2,5
TICK,3,2
TICK,4,1
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9774
GAME_TIME_HIGH, 10378
TICK,0,564
TICK,1,30
TICK,2,6
TICK,3,3
TICK,4,1
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 10176
GAME_TIME_HIGH, 10808
TICK,0,588
TICK,1,32
TICK,2,6
TICK,3,1
TICK,4,1
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9766
GAME_TIME_HIGH, 10369
TICK,0,561
TICK,1,31
TICK,2,7
TICK,3,2
TICK,4,2
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9770
GAME_TIME_HIGH, 10376
TICK,0,560
TICK,1,33
TICK,2,5
TICK,3,3
TICK,4,1
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9766
GAME_TIME_HIGH, 10372
TICK,0,561
TICK,1,32
TICK,2,6
TICK,3,2
TICK,4,1
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 10176
GAME_TIME_HIGH, 10807
TICK,0,576
TICK,1,44
TICK,2,6
TICK,3,1
TICK,4,0
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9758
GAME_TIME_HIGH, 10364
TICK,0,562
TICK,1,33
TICK,2,4
TICK,3,3
TICK,4,0
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9768
GAME_TIME_HIGH, 10374
TICK,0,555
TICK,1,40
TICK,2,6
TICK,3,1
TICK,4,0
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9762
GAME_TIME_HIGH, 10368
TICK,0,558
TICK,1,37
TICK,2,6
TICK,3,1
TICK,4,0
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9778
GAME_TIME_HIGH, 10382
TICK,0,561
TICK,1,34
TICK,2,5
TICK,3,3
TICK,4,1
TICK,5,0
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9754
GAME_TIME_HIGH, 10360
TICK,0,564
TICK,1,31
TICK,2,5
TICK,3,1
TICK,4,1
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 10152
GAME_TIME_HIGH, 10782
TICK,0,583
TICK,1,34
TICK,2,7
TICK,3,1
TICK,4,1
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9758
GAME_TIME_HIGH, 10364
TICK,0,563
TICK,1,31
TICK,2,6
TICK,3,1
TICK,4,1
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9765
GAME_TIME_HIGH, 10376
TICK,0,565
TICK,1,30
TICK,2,2
TICK,3,3
TICK,4,2
TICK,5,0
TICK,6,1
TICK,7,0
GAME_TIME_LOW, 9780
GAME_TIME_HIGH, 10388
TICK,0,568
TICK,1,30
TICK,2,4
TICK,3,1
TICK,4,1
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9774
GAME_TIME_HIGH, 10381
TICK,0,564
TICK,1,31
TICK,2,5
TICK,3,3
TICK,4,0
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9790
GAME_TIME_HIGH, 10398
TICK,0,562
TICK,1,35
TICK,2,6
TICK,3,1
TICK,4,0
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9754
GAME_TIME_HIGH, 10360
TICK,0,567
TICK,1,26
TICK,2,5
TICK,3,4
TICK,4,0
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9763
GAME_TIME_HIGH, 10374
TICK,0,565
TICK,1,30
TICK,2,2
TICK,3,4
TICK,4,1
TICK,5,0
TICK,6,1
TICK,7,0
GAME_TIME_LOW, 9774
GAME_TIME_HIGH, 10381
TICK,0,567
TICK,1,27
TICK,2,6
TICK,3,1
TICK,4,2
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9748
GAME_TIME_HIGH, 10354
TICK,0,570
TICK,1,23
TICK,2,5
TICK,3,4
TICK,4,0
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 10156
GAME_TIME_HIGH, 10787
TICK,0,589
TICK,1,31
TICK,2,4
TICK,3,2
TICK,4,1
TICK,5,1
TICK,6,0
TICK,7,0
GAME_TIME_LOW, 9783
